"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","predtest"
"719",6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,7,6.15321537889347
"722",6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,5,5.40220351758088
"727",6.4,0.24,0.31,2.8,0.038,41,114,0.99155,3.37,0.66,11.7,7,6.5504197433645
"729",6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5,6.05645951684286
"734",6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,5.56182498964546
"737",6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,5.56182498964546
"744",5.9,0.26,0.25,12.5,0.034,38,152,0.9977,3.33,0.43,9.4,5,5.68666286711065
"745",7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5,5.48574718255675
"749",6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6,6.00272431580759
"750",7.3,0.3,0.42,7.35,0.025,51,175,0.9928,3.04,0.32,11.4,6,6.26872395280774
"763",6.8,0.24,0.49,19.3,0.057,55,247,1.00055,3,0.56,8.7,5,5.60816133594716
"766",7.2,0.27,0.42,1.6,0.05,35,135,0.992,2.94,0.46,11,6,5.67077230962749
"769",6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7,6.05023478309612
"777",8.3,0.14,0.45,1.5,0.039,18,98,0.99215,3.02,0.56,11,6,6.17683360871735
"778",7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,5.65863449590568
"788",7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,5.32700721042884
"791",7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,5.32700721042884
"796",7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,5,5.20246087591991
"797",7.8,0.42,0.23,8.8,0.054,42,215,0.9971,3.02,0.58,9.2,6,5.14500195231307
"800",6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,8,6.31548092798352
"807",6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,5,5.66298692952299
"813",6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7,5.07618926996602
"817",8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,6.29266519137386
"830",7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,7,5.89686691313673
"833",7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,8,6.64420189660937
"839",7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,6.44763906547321
"843",8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,5.55900780094763
"846",7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8,6.29924418183289
"847",6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,5,5.75445744467481
"870",7.3,0.24,0.29,1.2,0.037,37,97,0.9926,3.19,0.7,10.1,6,5.9560279272772
"873",6.3,0.26,0.21,4,0.03,24,125,0.9915,3.06,0.34,10.7,6,5.91458550440756
"875",7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5,5.94515261687487
"882",8.8,0.36,0.44,1.9,0.04,9,121,0.9953,3.19,0.48,9.9,6,5.19340666380398
"883",7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6,6.3752372164301
"888",6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7,6.16498836954766
"889",7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6,6.16689384133648
"890",6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7,6.16498836954766
"900",6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6,6.2189387399114
"904",5.9,0.31,0.3,7.7,0.047,60,206,0.995,3.2,0.39,9.6,6,5.56223708383123
"910",7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5,5.58892689694627
"912",6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,5,5.52035772140705
"915",8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,4,5.09330017034561
"924",6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10,6,6.0332643504385
"928",6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,7,5.43399341258257
"933",6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10,6,6.0060379299589
"936",6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5,5.43183426661782
"940",7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6,7,5.92541146619234
"941",6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,5,5.63402660537728
"943",5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10,7,5.4201906764572
"946",6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2,7,6.04157255819228
"948",8.5,0.16,0.35,1.6,0.039,24,147,0.9935,2.96,0.36,10,5,5.63484325251932
"950",7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,5,6.0151013246114
"964",6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,6,6.45226330732674
"968",6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6,5.86851837349487
"973",6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6,5.86851837349487
"976",7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2,5,5.12958804422033
"983",5.1,0.39,0.21,1.7,0.027,15,72,0.9894,3.5,0.45,12.5,6,6.37264138635586
"989",6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,6.36747739006451
"991",8.6,0.16,0.38,3.4,0.04,41,143,0.9932,2.95,0.39,10.2,6,5.97752935899582
"994",7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4,5.51662530517617
"1001",8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,7,5.61247696229476
"1002",6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,5,5.50171482207072
"1005",5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6,6.19491255735052
"1011",7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6,5.96537235305517
"1022",8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7,6.21176809517241
"1033",7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6,5.72533882299614
"1048",7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5,5.56920436423778
"1050",6.1,0.37,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,6,6.55150019874492
"1059",7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6,6.03533245216594
"1066",8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5,5.73178240636339
"1070",6.9,0.2,0.36,1.5,0.031,38,147,0.9931,3.35,0.56,11,6,6.14058799413094
"1072",8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5,5.73178240636339
"1077",7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,6,5.7132481595354
"1092",7.2,0.21,0.35,14.5,0.048,35,178,0.9982,3.05,0.47,8.9,6,5.67921273045178
"1097",6.5,0.28,0.26,8.8,0.04,44,139,0.9956,3.32,0.37,10.2,6,5.84056509118369
"1099",6.5,0.29,0.25,10.6,0.039,32,120,0.9962,3.31,0.34,10.1,6,5.77718436014033
"1106",5.5,0.32,0.45,4.9,0.028,25,191,0.9922,3.51,0.49,11.5,7,6.30810458771287
"1109",6.1,0.29,0.27,1.7,0.024,13,76,0.9893,3.21,0.51,12.6,7,6.51677086234892
"1112",8,0.18,0.37,1.3,0.04,15,96,0.9912,3.06,0.61,12.1,6,6.42462955590071
"1117",5.9,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5,5.38398802814147
"1127",6.5,0.115,0.29,1.95,0.038,73,166,0.989,3.12,0.25,12.9,7,6.99810400232302
"1145",7.2,0.25,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5,5,5.67851022304036
"1150",6.7,0.25,0.23,7.2,0.038,61,220,0.9952,3.14,0.35,9.5,5,5.67755694163115
"1157",7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6,5.48327586681748
"1162",7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6,5.48327586681748
"1165",8.2,0.23,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,6,5.53510881701762
"1166",6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,5,6.04874293613408
"1169",7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,5,5.98061028507666
"1176",6.4,0.25,0.41,8.6,0.042,57,173,0.9965,3,0.44,9.1,5,5.32562014496095
"1178",6.8,0.25,0.29,2,0.042,19,189,0.9952,3.46,0.54,10.2,6,5.54663146520485
"1183",7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5,6.23236703947555
"1190",7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5,5.01643622489831
"1195",6.2,0.37,0.22,8.3,0.025,36,216,0.9964,3.33,0.6,9.6,6,5.57209681714408
"1200",7.4,0.25,0.37,6.9,0.02,14,93,0.9939,3,0.48,10.7,7,5.95264473446999
"1201",6.8,0.18,0.37,1.5,0.027,37,93,0.992,3.3,0.45,10.8,6,6.21007168686045
"1204",5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,5.63476385095461
"1208",6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5,5.26349191226973
"1210",8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,6,6.67983010010675
"1221",6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11,6,5.93055648667062
"1227",7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7,6.64034412553277
"1233",7.9,0.44,0.37,5.85,0.033,27,93,0.992,3.16,0.54,12.6,7,6.37025326899271
"1238",7.3,0.24,0.39,3.6,0.024,35,116,0.9928,3.17,0.51,10.9,5,6.15306168143261
"1244",7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,7,6.36714121301058
"1245",6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,5,5.58868397957719
"1247",8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,7,5.80871886565885
"1252",5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,5,5.21673856529882
"1259",6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,6,5.47421428578101
"1269",7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5,5.41701208880925
"1280",6.6,0.27,0.3,1.9,0.025,14,153,0.9928,3.29,0.62,10.5,6,5.88780950310077
"1282",7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,7,6.2336153021195
"1287",6.6,0.16,0.29,1.8,0.05,40,147,0.9912,3.06,0.44,11.4,7,6.15748410880724
"1289",7.2,0.32,0.33,1.4,0.029,29,109,0.9902,3.15,0.51,12.8,7,6.45574623258829
"1290",6.6,0.16,0.3,1.6,0.034,15,78,0.992,3.38,0.44,11.2,6,6.22572658117613
"1297",7.5,0.38,0.33,5,0.045,30,131,0.9942,3.32,0.44,10.9,6,5.76072553799638
"1300",7.8,0.23,0.28,4.75,0.042,45,166,0.9928,2.96,0.4,11.5,5,6.13503537136958
"1303",7.4,0.19,0.42,6.4,0.067,39,212,0.9958,3.3,0.33,9.6,6,5.62697159902678
"1306",7.9,0.14,0.45,1.8,0.05,17,114,0.9948,3.33,0.49,10.7,7,5.81690298791056
"1307",6.8,0.24,0.4,1.8,0.047,34,105,0.99,3.13,0.49,12.8,8,6.52149546692814
"1321",7.6,0.19,0.42,1.5,0.044,6,114,0.9914,3.04,0.74,12.8,6,6.43836117972748
"1325",6.9,0.16,0.35,1.3,0.043,21,182,0.9927,3.25,0.62,10.8,6,6.06808754507511
"1328",6.8,0.26,0.33,1.5,0.047,44,167,0.9928,3.12,0.44,10.5,6,5.63530929921411
"1329",5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,6,5.92464382857199
"1330",8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,5,5.30546445134708
