,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,predtest,Residual,,
103,6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5,5.873271219,0.873271219,,
105,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,5.627384611,0.627384611,,
107,7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,6.238974179,1.238974179,,
112,7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5,5.650262611,0.650262611,,
115,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5,5.13864772,0.13864772,,
118,7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,6,6.373364457,0.373364457,,
126,6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,6,6.462167955,0.462167955,,
129,6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7,5.972453532,-1.027546468,,
131,5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5,6.208917445,1.208917445,,
134,6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5,6.014873153,1.014873153,,
146,6.3,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,6,5.830929143,-0.169070857,,
147,5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,6,5.931484858,-0.068515142,,
153,6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6,5.200517753,-0.799482247,,
157,7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,5.410588934,-0.589411066,,
165,6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,5,5.962698654,0.962698654,,
166,7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,5,6.064311796,1.064311796,,
168,6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,7,6.115368415,-0.884631585,,
169,7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5,5.325895258,0.325895258,,
181,6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6,5.421555076,-0.578444924,,
182,7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,5,5.19891238,0.19891238,,
183,6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5,5.557283922,0.557283922,,
190,6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,4,5.435683198,1.435683198,,
191,6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,6,5.439070071,-0.560929929,,
194,6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5,5.884112361,0.884112361,,
199,7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5,5.473265547,0.473265547,,
204,6.8,0.26,0.34,13.9,0.034,39,134,0.9949,3.33,0.53,12,6,6.901750257,0.901750257,,
205,5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4,5.656875683,1.656875683,,
207,7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5,5.731602903,0.731602903,,
211,5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5,6.01088661,1.01088661,,
219,5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4,5,5.893367856,0.893367856,,
223,6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7,6.144681885,-0.855318115,,
234,7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,5.735276111,-0.264723889,,
235,7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,5.735276111,-0.264723889,,
236,7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,5.735276111,-0.264723889,,
240,6.2,0.25,0.21,15.55,0.039,28,159,0.9982,3.48,0.64,9.6,6,6.195045362,0.195045362,,
242,7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5,5.961438831,0.961438831,,
243,7.1,0.21,0.37,2.4,0.026,23,100,0.9903,3.15,0.38,11.4,7,6.410556515,-0.589443485,,
247,6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,7,6.768404199,-0.231595801,,
248,5.8,0.2,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9,7,6.036579118,-0.963420882,,
253,6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5,5.127443097,0.127443097,,
255,5.8,0.24,0.39,1.5,0.054,37,158,0.9932,3.21,0.52,9.3,6,5.336051918,-0.663948082,,
256,6.7,0.26,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6,8,5.657949367,-2.342050633,,
259,6.4,0.23,0.39,1.8,0.032,23,118,0.9912,3.32,0.5,11.8,6,6.334856855,0.334856855,,
261,6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6,6.175278851,0.175278851,,
263,6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,5,5.728465101,0.728465101,,
264,7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,6,5.90744804,-0.09255196,,
265,6.2,0.24,0.35,1.2,0.038,22,167,0.9912,3.1,0.48,10.6,6,5.793197276,-0.206802724,,
281,7,0.24,0.36,2.8,0.034,22,112,0.99,3.19,0.38,12.6,8,6.599380351,-1.400619649,,
288,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,5.615702561,-1.384297439,,
291,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,5.615702561,-1.384297439,,
293,7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1,5,5.612904687,0.612904687,,
296,6.3,0.33,0.27,1.2,0.046,34,175,0.9934,3.37,0.54,9.4,6,5.399053898,-0.600946102,,
309,6.2,0.33,0.27,4.9,0.036,30,134,0.9927,3.2,0.42,10.4,7,5.753639565,-1.246360435,,
310,6.2,0.31,0.26,4.8,0.037,36,148,0.9928,3.21,0.41,10.4,6,5.798785982,-0.201214018,,
314,5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,6,5.826127758,-0.173872242,,
317,6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6,6.038801606,0.038801606,,
320,6.1,0.125,0.25,3.3,0.04,10,69,0.9934,3.54,0.59,10.1,6,6.175342928,0.175342928,,
322,6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5,6.066373456,1.066373456,,
324,6.8,0.28,0.44,9.3,0.031,35,137,0.9946,3.16,0.36,10.4,6,5.948844055,-0.051155945,,
332,6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,5,6.05865839,1.05865839,,
334,6.5,0.28,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8,5,5.684665765,0.684665765,,
343,6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,6,5.496971435,-0.503028565,,
344,5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,5,5.692043311,0.692043311,,
345,5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,6,5.753173492,-0.246826508,,
347,5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,7,6.024253314,-0.975746686,,
354,7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7,6.175417676,-0.824582324,,
355,5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6,5.355398748,-0.644601252,,
370,7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6,5,6.173830933,1.173830933,,
380,6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7,5.749687666,-1.250312334,,
383,7.5,0.35,0.28,9.6,0.051,26,157,0.9969,3.12,0.53,9.2,6,5.31740745,-0.68259255,,
390,7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7,5.964479248,-1.035520752,,
391,7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7,5.964479248,-1.035520752,,
392,6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,5,5.480512856,0.480512856,,
394,7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6,6.586188014,0.586188014,,
397,8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5,6.090175443,1.090175443,,
399,5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,5,5.930287362,0.930287362,,
402,6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5,5.375773552,0.375773552,,
405,6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,12.6,6,6.929693813,0.929693813,,
407,5.8,0.28,0.34,4,0.031,40,99,0.9896,3.39,0.39,12.8,7,6.853889061,-0.146110939,,
413,7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5,6.050740675,1.050740675,,
418,6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,5,5.499267046,0.499267046,,
420,7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,6,5.826290302,-0.173709698,,
428,6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5,5.592865558,0.592865558,,
429,7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1,5,5.320058711,0.320058711,,
433,7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7,6.173425176,-0.826574824,,
441,6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,7,6.401770983,-0.598229017,,
449,6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,5.609504875,-0.390495125,,
452,6.1,0.2,0.25,1.2,0.038,34,128,0.9921,3.24,0.44,10.1,5,5.799994544,0.799994544,,
455,6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,7,5.890609029,-1.109390971,,
456,6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,5.593825442,-0.406174558,,
458,7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5,5.520707976,0.520707976,,
461,7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5,5.520707976,0.520707976,,
462,7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3,5,5.856194901,0.856194901,,
463,5.9,0.25,0.19,12.4,0.047,50,162,0.9973,3.35,0.38,9.5,5,5.761699271,0.761699271,,
467,7,0.14,0.32,9,0.039,54,141,0.9956,3.22,0.43,9.4,6,6.095177444,0.095177444,,
478,7,0.22,0.28,1.5,0.037,29,115,0.9927,3.11,0.55,10.5,6,5.809814366,-0.190185634,,
483,5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5,5,5.824219931,0.824219931,,
484,6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5,5.189433327,0.189433327,,
490,7.4,0.26,0.31,7.6,0.047,52,177,0.9962,3.13,0.45,8.9,6,5.488990629,-0.511009371,,
491,7,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1,6,6.179668135,0.179668135,,
494,6.3,0.19,0.28,1.8,0.022,28,158,0.9907,3.2,0.64,11.4,6,6.513803456,0.513803456,,
512,7.8,0.34,0.35,1.8,0.042,8,167,0.9908,3.11,0.41,12.1,6,6.053704576,0.053704576,,
519,5.9,0.13,0.28,1.9,0.05,20,78,0.9918,3.43,0.64,10.8,6,6.328353582,0.328353582,,
523,6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6,6.055396229,0.055396229,,
530,5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6,6.440755467,0.440755467,,
538,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6,5.577474868,-0.422525132,,
544,6.7,0.24,0.41,8.7,0.036,29,148,0.9952,3.22,0.62,9.9,6,5.985515706,-0.014484294,,
545,6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,6,5.681460557,-0.318539443,,
546,6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10,6,6.1032341,0.1032341,,
547,6.3,0.26,0.24,7.2,0.039,38,172,0.9958,3.49,0.64,9.7,6,5.947897413,-0.052102587,,
549,6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2,7,6.071857494,-0.928142506,,
554,7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7,5.627809348,-1.372190652,,
563,7.7,0.34,0.27,8.8,0.063,39,184,0.9969,3.09,0.63,9.2,6,5.356399593,-0.643600407,,
569,6.1,0.26,0.51,2.2,0.05,61,154,0.9929,3.08,0.6,9.8,6,5.597492759,-0.402507241,,
582,5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,5,5.60606666,0.60606666,,
584,7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6,5.62192631,-0.37807369,,
588,6.1,0.32,0.25,1.7,0.034,37,136,0.992,3.47,0.5,10.8,7,6.034077905,-0.965922095,,
590,7,0.23,0.33,5.8,0.04,25,136,0.995,3.19,0.58,9.5,6,5.675995201,-0.324004799,,
593,6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5,5.30989448,0.30989448,,
608,7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5,5.694610368,0.694610368,,
630,5.8,0.31,0.33,1.2,0.036,23,99,0.9916,3.18,0.6,10.5,6,5.68230876,-0.31769124,,
631,7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,5,5.689620498,0.689620498,,
635,6.1,0.17,0.28,4.5,0.033,46,150,0.9933,3.43,0.49,10.9,6,6.374014648,0.374014648,,
640,5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3,5,5.960920379,0.960920379,,
644,6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5,5,5.756207636,0.756207636,,
646,6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9,5,5.353335157,0.353335157,,
650,7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7,5.460986837,-1.539013163,,
651,7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7,5.460986837,-1.539013163,,
656,7.7,0.27,0.35,5.3,0.03,30,117,0.992,3.11,0.42,12.2,6,6.470254602,0.470254602,,
659,6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,5,6.135836742,1.135836742,,
667,6.8,0.22,0.37,1.7,0.036,38,195,0.9908,3.35,0.72,12.5,6,6.853764229,0.853764229,,
677,5.9,0.29,0.25,12,0.057,48,224,0.9981,3.23,0.41,9,6,5.271413159,-0.728586841,,
680,5.7,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7,6.372730613,-0.627269387,,
687,6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,7,6.06087473,-0.93912527,,
692,6.1,0.36,0.16,6.4,0.037,36,198,0.9944,3.17,0.62,9.9,6,5.604116965,-0.395883035,,
693,6,0.36,0.16,6.3,0.036,36,191,0.9942,3.17,0.62,9.8,5,5.604468797,0.604468797,,
697,6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,6,6.299955888,0.299955888,,
708,7.2,0.18,0.45,4.4,0.046,57,166,0.9943,3.13,0.62,11.2,6,6.160519968,0.160519968,,
710,6.2,0.47,0.21,1,0.044,13,98,0.99345,3.14,0.46,9.2,5,4.65254542,-0.34745458,,
712,8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6,6.32748087,0.32748087,,
713,8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6,6.32748087,0.32748087,,
717,7.7,0.42,0.31,9.2,0.048,22,221,0.9969,3.06,0.61,9.2,6,5.17225736,-0.82774264,,
718,7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5,5.505428597,0.505428597,,
719,6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,7,6.176209236,-0.823790764,,
722,6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,5,5.377759983,0.377759983,,
727,6.4,0.24,0.31,2.8,0.038,41,114,0.99155,3.37,0.66,11.7,7,6.571315213,-0.428684787,,
729,6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5,6.061091314,1.061091314,,
734,6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,5.543848494,-0.456151506,,
737,6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,5.543848494,-0.456151506,,
744,5.9,0.26,0.25,12.5,0.034,38,152,0.9977,3.33,0.43,9.4,5,5.677247681,0.677247681,,
745,7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5,5.464220013,0.464220013,,
749,6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6,5.999775671,-0.000224329,,
750,7.3,0.3,0.42,7.35,0.025,51,175,0.9928,3.04,0.32,11.4,6,6.255758952,0.255758952,,
763,6.8,0.24,0.49,19.3,0.057,55,247,1.00055,3,0.56,8.7,5,5.582826116,0.582826116,,
766,7.2,0.27,0.42,1.6,0.05,35,135,0.992,2.94,0.46,11,6,5.663306816,-0.336693184,,
769,6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7,6.048972566,-0.951027434,,
777,8.3,0.14,0.45,1.5,0.039,18,98,0.99215,3.02,0.56,11,6,6.177573514,0.177573514,,
778,7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,5.657856042,0.657856042,,
788,7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,5.311330681,-0.688669319,,
791,7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,5.311330681,-0.688669319,,
796,7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,5,5.190594861,0.190594861,,
797,7.8,0.42,0.23,8.8,0.054,42,215,0.9971,3.02,0.58,9.2,6,5.136833405,-0.863166595,,
800,6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,8,6.313470805,-1.686529195,,
807,6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,5,5.653493965,0.653493965,,
813,6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7,5.043572245,-1.956427755,,
817,8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,6.292053804,1.292053804,,
830,7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,7,5.895367187,-1.104632813,,
833,7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,8,6.654887736,-1.345112264,,
836,7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8,8,6.238714722,-1.761285278,,
839,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,6.431571298,-1.568428702,,
843,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,5.552347479,-1.447652521,,
846,7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8,6.303039733,-1.696960267,,
847,6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,5,5.755609715,0.755609715,,
870,7.3,0.24,0.29,1.2,0.037,37,97,0.9926,3.19,0.7,10.1,6,5.979911543,-0.020088457,,
873,6.3,0.26,0.21,4,0.03,24,125,0.9915,3.06,0.34,10.7,6,5.895544091,-0.104455909,,
875,7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5,5.941844669,0.941844669,,
876,7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10,7,5.877413477,-1.122586523,,
882,8.8,0.36,0.44,1.9,0.04,9,121,0.9953,3.19,0.48,9.9,6,5.176923074,-0.823076926,,
883,7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6,6.36805141,0.36805141,,
888,6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7,6.179770252,-0.820229748,,
889,7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6,6.169324078,0.169324078,,
890,6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7,6.179770252,-0.820229748,,
896,5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,6,5.736996073,-0.263003927,,
900,6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6,6.217468482,0.217468482,,
904,5.9,0.31,0.3,7.7,0.047,60,206,0.995,3.2,0.39,9.6,6,5.550357426,-0.449642574,,
910,7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5,5.577665966,0.577665966,,
912,6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,5,5.514718436,0.514718436,,
915,8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,4,5.079896124,1.079896124,,
924,6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10,6,6.034686511,0.034686511,,
926,6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,5,5.403917441,0.403917441,,
928,6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,7,5.430381194,-1.569618806,,
931,7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,7,6.529261704,-0.470738296,,
933,6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10,6,6.014042536,0.014042536,,
936,6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5,5.410395658,0.410395658,,
940,7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6,7,5.910391134,-1.089608866,,
941,6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,5,5.625016539,0.625016539,,
943,5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10,7,5.41064108,-1.58935892,,
946,6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2,7,6.039130958,-0.960869042,,
948,8.5,0.16,0.35,1.6,0.039,24,147,0.9935,2.96,0.36,10,5,5.623407301,0.623407301,,
950,7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,5,6.004045142,1.004045142,,
964,6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,6,6.457574288,0.457574288,,
968,6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6,5.849228884,-0.150771116,,
973,6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6,5.849228884,-0.150771116,,
976,7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2,5,5.123717814,0.123717814,,
983,5.1,0.39,0.21,1.7,0.027,15,72,0.9894,3.5,0.45,12.5,6,6.362822045,0.362822045,,
989,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,6.3926198,1.3926198,,
991,8.6,0.16,0.38,3.4,0.04,41,143,0.9932,2.95,0.39,10.2,6,5.97641015,-0.02358985,,
994,7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4,5.519338007,1.519338007,,
1001,8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,7,5.604138741,-1.395861259,,
1002,6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,5,5.492045765,0.492045765,,
1005,5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6,6.191256012,0.191256012,,
